IsMeta,URL,Key,Value
false,,,[1]
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,mr.persistent.CloudProvider,"[{""cloudEnabled"":false,""notifiedHangoutsPrivacy"":false}]"
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,mr.persistent.IdentityService,"[{""signedIn"":false,""userEmail"":null,""kioskAuth"":false}]"
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,mr.temp.HangoutSinkDiscoveryService,"[{""cache"":{""sinks"":{},""g"":{},""h"":null},""manualHangouts"":{}}]"
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,mr.temp.LogManager,"[[""[2021-05-1220:22:14.94][INFO][mr.Init]MRinstanceID:18d9168b-c276-4836-a5dd-9ac52f9df340\n"",""[2021-05-1220:22:14.94][INFO][mr.Init]NativeCastMRPisenabled.\n"",""[2021-05-1220:22:14.94][INFO][mr.Init]NativeMirroringServiceisenabled.\n"",""[2021-05-1220:22:14.94][INFO][mr.PersistentDataManager]removeTemporary_:163charsused\n"",""[2021-05-1220:22:14.94][INFO][mr.PersistentDataManager]initialize:163charsused,67otherchars\n"",""[2021-05-1220:22:14.96][INFO][mr.CloudProvider]InitializingCloudMRP\n"",""[2021-05-1220:22:14.97][INFO][mr.CloudProvider]Cloudenabledsetting:false\n"",""[2021-05-1220:22:14.97][INFO][mr.CloudProvider]Privacynotifiedsetting:false\n"",""[2021-05-1220:22:24.98][INFO][mr.PersistentDataManager]onSuspend\n""]]"
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,mr.temp.ProviderManager,"[{""m"":[],""j"":[""""],""h"":[],""l"":[[""cloud"",0]],""g"":null}]"
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,mr.temp.mr.EventListener.CastChannelErrorListener,[false]
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,mr.temp.mr.EventListener.CastChannelMessageListener,[false]
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,mr.temp.mr.EventListener.ExternalMessageListener,[true]
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,mr.temp.mr.EventListener.InternalMessageListener,[true]
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,mr.temp.mr.RouteMessageSender,"[{""h"":[],""g"":[],""j"":0}]"
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,mrInstanceId,[18d9168b-c276-4836-a5dd-9ac52f9df340]
false,chrome-extension://pkedcjkdefgpdelpbcmbmeomcjbeemfm,version,[9021.222.0.0]
false,http://by1137.com,Hm_lvt_07f2c7e5bd9592209d606f0184fc3d8f,[1649158203586|1617622204]
false,https://www.byarv6u18klw9oq8680w9.com:52789,Hm_lvt_07f2c7e5bd9592209d606f0184fc3d8f,[1649158445917|1617622206]
false,https://www.byarv6u18klw9oq8680w9.com:52789,Hm_lvt_36ab7abfe863c7133f2af34068ebfc82,[1649158446216|1617622218]
false,https://www.bymo123dbbowl7e7wy5nsypxv.com:52789,Hm_lvt_07f2c7e5bd9592209d606f0184fc3d8f,"[1652358246005|1620822140,1620822246]"
false,https://www.bymo123dbbowl7e7wy5nsypxv.com:52789,Hm_lvt_36ab7abfe863c7133f2af34068ebfc82,[1652358246829|1620822142]
false,https://www.google.com,sb_wiz.zpc.,"[[[],{""k"":1,""q"":""-s98KASxCUXWZQ52Hd2ZyAzu_xU""}]]"
